key,collections_count,namespaces_count,collections,namespaces
"enabled","3","3","app.linkbio.links;app.gridsky.preferences;app.basker.widgets","app.linkbio.links;app.gridsky.preferences;app.basker.widgets"
"isDropdown","1","1","app.linkbio.link","app.linkbio.link"
"airline","1","1","app.lele.flight","app.lele.flight"
"arrivalUtc","1","1","app.lele.flight","app.lele.flight"
"departureUtc","1","1","app.lele.flight","app.lele.flight"
"destination","1","1","app.lele.flight","app.lele.flight"
"vote","1","1","app.koda.feed.replyvote","app.koda.feed"
"contentHtml","1","1","app.koda.feed.blog","app.koda.feed"
"coverImageUrl","1","1","app.koda.feed.blog","app.koda.feed"
"pinned","2","1","app.hyper-limit.bookmark.list;app.hyper-limit.bookmark","app.hyper-limit.bookmark"
"archived","1","1","app.hyper-limit.bookmark","app.hyper-limit.bookmark"
"encrypted","1","1","app.hyper-limit.bookmark","app.hyper-limit.bookmark"
"signatureKey","1","1","app.honks.feed.honk","app.honks.feed"
"animation","1","1","app.gridsky.preferences","app.gridsky.preferences"
"showBannerInstead","1","1","app.gridsky.preferences","app.gridsky.preferences"
"backgroundTone","1","1","app.gridsky.preferences","app.gridsky.preferences"
"colorPrimary","1","1","app.gridsky.preferences","app.gridsky.preferences"
"variant","1","1","app.gridsky.preferences","app.gridsky.preferences"
"layout","2","2","app.gridsky.grid;app.basker.settings","app.gridsky.grid;app.basker.settings"
"videoOnly","1","1","app.gridsky.grid","app.gridsky.grid"
"attendee","1","1","app.gather.rsvp","app.gather.rsvp"
"dietaryRestrictions","1","1","app.gather.rsvp","app.gather.rsvp"
"plusOne","1","1","app.gather.rsvp","app.gather.rsvp"
"transportNeed","1","1","app.gather.rsvp","app.gather.rsvp"
"imageCredit","2","2","app.gather.group;app.gather.event","app.gather.group;app.gather.event"
"locationRestriction","1","1","app.gather.group","app.gather.group"
"photographer","2","2","app.gather.group;app.gather.event","app.gather.group;app.gather.event"
"photographer_username","2","2","app.gather.group;app.gather.event","app.gather.group;app.gather.event"
"unsplash_id","2","2","app.gather.group;app.gather.event","app.gather.group;app.gather.event"
"maxAttendees","1","1","app.gather.event","app.gather.event"
"hectares","1","1","app.gainforest.profile","app.gainforest.profile"
"objective","1","1","app.gainforest.profile","app.gainforest.profile"
"organizationAffiliation","1","1","app.gainforest.profile","app.gainforest.profile"
"catalogueReason","1","1","app.gainforest.organization.tags","app.gainforest.organization"
"objectiveRaw","1","1","app.gainforest.organization.tags","app.gainforest.organization"
"potentialIssues","1","1","app.gainforest.organization.tags","app.gainforest.organization"
"proponents","1","1","app.gainforest.organization.tags","app.gainforest.organization"
"sdgGoals","1","1","app.gainforest.organization.tags","app.gainforest.organization"
"organizationId","1","1","app.gainforest.organization.registry","app.gainforest.organization"
"isExternalProject","1","1","app.gainforest.organization.metrics","app.gainforest.organization"
"customEnterBtnText","1","1","app.gainforest.organization.links","app.gainforest.organization"
"discordId","1","1","app.gainforest.organization.links","app.gainforest.organization"
"stripeUrl","1","1","app.gainforest.organization.links","app.gainforest.organization"
"isPublished","1","1","app.gainforest.organization.info","app.gainforest.organization"
"firstName","1","1","app.gainforest.community","app.gainforest.community"
"lastName","1","1","app.gainforest.community","app.gainforest.community"
"place","1","1","app.fooodz.review","app.fooodz.review"
"review","1","1","app.fooodz.review","app.fooodz.review"
"selected","2","1","app.eny.feed.views;app.eny.feed.interests","app.eny.feed"
"view","1","1","app.eny.feed.views","app.eny.feed"
"interest","1","1","app.eny.feed.interests","app.eny.feed"
"board","1","1","app.echosky.board.thread","app.echosky.board"
"refPost","1","1","app.echosky.board.post","app.echosky.board"
"boardId","1","1","app.echosky.board.info","app.echosky.board"
"addressRef","1","1","app.dropanchor.checkin","app.dropanchor.checkin"
"categoryGroup","1","1","app.dropanchor.checkin","app.dropanchor.checkin"
"categoryIcon","1","1","app.dropanchor.checkin","app.dropanchor.checkin"
"coordinates","1","1","app.dropanchor.checkin","app.dropanchor.checkin"
"participantDid","1","1","app.dekoboko.quest.participation","app.dekoboko.quest"
"questId","2","2","app.dekoboko.quest.participation;app.dekoboko.post","app.dekoboko.quest;app.dekoboko.post"
"preferredTargetLang","1","1","app.deepl.profile","app.deepl.profile"
"folder","1","1","app.custom.lolol","app.custom.lolol"
"bees","1","1","app.custom.beeschurger","app.custom.beeschurger"
"actor_did","1","1","app.bskymark.bookmark","app.bskymark.bookmark"
"actor_handle","1","1","app.bskymark.bookmark","app.bskymark.bookmark"
